!# time[s]	real	imag	abs
0.420073	0.125717	0.042984	0.132862
0.420304	0.105133	0.0588226	0.12047
0.420535	0.153534	0.00717163	0.153701
0.420766	0.206238	0.116791	0.237011
0.420997	0.112656	0.0177307	0.114042
0.421228	0.0614777	0.023407	0.0657829
0.421459	0.118744	-0.0417175	0.125859
0.42169	0.0652924	-0.0613861	0.0896178
0.421921	0.0228882	0.00160216	0.0229442
0.422152	0.069046	0.100357	0.121815
0.422383	0.263016	-0.12999	0.293385
0.422614	0.0995331	-0.00912476	0.0999505
0.422845	0.135864	-0.0132446	0.136508
0.423076	0.0434723	-0.0572357	0.0718733
0.423307	-0.037674	0.00550842	0.0380745
0.423538	0.0362396	-0.021347	0.0420596
0.423769	0.149948	-0.0517883	0.158639
0.424	0.103287	-0.163788	0.193635
0.424231	-0.172165	0.212372	0.273391
0.424462	0.1147	-0.0895538	0.14552
0.424693	0.0779266	-0.0836182	0.1143
0.424924	0.187454	-0.0638123	0.198018
0.425155	0.0109711	-0.0352936	0.0369595
0.425386	0.257736	-0.0868378	0.271972
0.425617	-0.0721588	-0.0242004	0.0761089
0.425848	0.278122	-0.0285187	0.27958
0.426079	0.151459	0.0523071	0.160237
0.42631	0.0680695	0.0272827	0.0733335
0.426541	0.0382233	-0.0240936	0.0451832
0.426772	0.0685577	-0.047287	0.083284
0.427003	0.0585632	0.0561218	0.081113
0.427234	0.110703	0.052597	0.122562
0.427465	0.153198	-0.00128174	0.153204
0.427696	-0.144653	-0.0661316	0.159053
0.427927	0.0226593	-0.0254822	0.0340996
0.428158	-0.0867768	-0.0162964	0.0882937
0.428389	0.136765	-0.023056	0.138694
0.42862	0.067215	-0.0156403	0.0690107
0.428851	0.0716553	-0.0741119	0.103088
0.429082	0.156357	0.133713	0.205734
0.429313	0.118607	-0.0133514	0.119356
0.429544	0.168335	0.128357	0.211689
0.429775	-0.0300446	-0.00953675	0.0315218
0.430006	0.0428619	0.015213	0.0454817
0.430237	0.100113	0.147827	0.178537
0.430468	0.0347595	0.0232086	0.0417955
0.430699	-0.0309753	0.0347595	0.0465585
0.43093	0.144821	0.0222931	0.146527
0.431161	0.140579	0.00157166	0.140588
0.431392	0.11232	-0.194641	0.224724
0.431623	0.0274658	-0.0776978	0.0824094
0.431854	0.0240479	0.0281983	0.03706
0.432085	0.00755311	0.000671391	0.00758289
0.432316	0.0982361	-0.0665131	0.118635
0.432547	0.151733	0.165039	0.22419
0.432778	0.100937	0.0208893	0.103076
0.433009	0.134048	0.0538788	0.144471
0.43324	-0.00421143	0.111267	0.111347
0.433471	0.0937805	-0.0533295	0.107883
0.433702	0.0825348	0.0974274	0.127687
0.433933	0.171921	0.0182648	0.172888
0.434164	0.131805	-0.100754	0.165904
0.434395	0.0815277	-0.0343628	0.0884736
0.434626	-0.0102844	0.0335999	0.0351386
0.434857	-0.0248108	0.127411	0.129804
0.435088	0.110062	-0.0649414	0.127793
0.435319	0.090683	-0.0230408	0.0935643
0.43555	0.0905304	0.0809326	0.121432
0.435781	0.18631	-0.0477905	0.192342
0.436012	0.0862427	0.0932465	0.127015
0.436243	-0.000854491	0.0100861	0.0101222
0.436474	0.0896149	0.0365906	0.0967972
0.436705	0.0379639	0.0695801	0.0792631
0.436936	0.0792084	-0.105469	0.1319
0.437167	0.120819	-0.0339813	0.125507
0.437398	-0.0860748	0.0450592	0.0971556
0.437629	0.0560455	-0.0159454	0.0582697
0.43786	-0.0328217	0.0500946	0.0598893
0.438091	0.102661	0.0643616	0.121168
0.438322	0.0758362	-0.0118561	0.0767574
0.438553	0.0963898	-0.00662231	0.096617
0.438784	0.121796	-0.000442511	0.121796
0.439015	0.133438	0.00697327	0.13362
0.439246	0.198929	0.0467682	0.204353
0.439477	0.156311	-0.152313	0.218249
0.439708	0.188812	-0.0602417	0.19819
0.439939	0.145096	0.0835266	0.16742
0.44017	0.119339	0.0562744	0.131942
0.440401	0.030426	0.0702667	0.0765713
0.440632	0.0393524	0.027832	0.0482
0.440863	-0.0552673	0.0318298	0.0637779
0.441094	0.053421	0.0779877	0.0945298
0.441325	0.172485	0.0154114	0.173173
0.441556	0.0297852	-0.00753784	0.0307242
0.441787	0.0653534	0.0744782	0.0990861
0.442018	0.0457459	-0.0449066	0.0641037
0.442249	0.130539	-0.0858765	0.156254
0.44248	0.0220032	-0.0480347	0.0528344
0.442711	0.17775	-0.000488292	0.17775
